data,reparto_id,shift_code,coverage_code
2024-10-20,REP5,P,S
2024-10-20,RIA,G,S
2024-10-20,RIA2,G,S
2024-10-21,ADT,G,p
2024-10-21,MED,G,S
2024-10-21,MEDG,N,S
2024-10-21,REP0,G,S
2024-10-21,REP0,M,S
2024-10-21,REP0,N,S
2024-10-21,REP0,P,S
2024-10-21,REP2,M,S
2024-10-21,REP2,N,S
2024-10-21,REP2,P,S
2024-10-21,REP3,M,S
2024-10-21,REP3,N,S
2024-10-21,REP3,P,S
2024-10-21,REP5,M,S
2024-10-21,REP5,N,S
2024-10-21,REP5,P,S
2024-10-21,RIA,G,S
2024-10-21,RIA2,G,S
2024-10-22,ADT,G,p
2024-10-22,MED,G,S
2024-10-22,MEDG,N,S
2024-10-22,REP0,G,S
2024-10-22,REP0,M,S
2024-10-22,REP0,N,S
2024-10-22,REP0,P,S
2024-10-22,REP2,M,S
2024-10-22,REP2,N,S
2024-10-22,REP2,P,S
2024-10-22,REP3,M,S
2024-10-22,REP3,N,S
2024-10-22,REP3,P,S
2024-10-22,REP5,M,S
2024-10-22,REP5,N,S
2024-10-22,REP5,P,S
2024-10-22,RIA,G,S
2024-10-22,RIA2,G,S
2024-10-23,ADT,G,p
2024-10-23,MED,G,S
2024-10-23,MEDG,N,S
2024-10-23,REP0,G,S
2024-10-23,REP0,M,S
2024-10-23,REP0,N,S
2024-10-23,REP0,P,S
2024-10-23,REP2,M,S
2024-10-23,REP2,N,S
2024-10-23,REP2,P,S
2024-10-23,REP3,M,S
2024-10-23,REP3,N,S
2024-10-23,REP3,P,S
2024-10-23,REP5,M,S
2024-10-23,REP5,N,S
2024-10-23,REP5,P,S
2024-10-23,RIA,G,S
2024-10-23,RIA2,G,S
2024-10-24,ADT,G,p
2024-10-24,MED,G,S
2024-10-24,MEDG,N,S
2024-10-24,REP0,G,S
2024-10-24,REP0,M,S
2024-10-24,REP0,N,S
2024-10-24,REP0,P,S
2024-10-24,REP2,M,S
2024-10-24,REP2,N,S
2024-10-24,REP2,P,S
2024-10-24,REP3,M,S
2024-10-24,REP3,N,S
2024-10-24,REP3,P,S
2024-10-24,REP5,M,S
2024-10-24,REP5,N,S
2024-10-24,REP5,P,S
2024-10-24,RIA,G,S
2024-10-24,RIA2,G,S
2024-10-25,ADT,G,p
2024-10-25,MED,G,S
2024-10-25,MEDG,N,S
2024-10-25,REP0,G,S
